"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15"
"363",4,1,2,2,3,2,2,2,3,3,2,2,1,4,3
"364",3,1,1,4,4,1,1,1,2,5,4,1,1,4,5
"365",4,4,4,5,4,4,1,3,1,5,4,1,4,5,4
"366",4,1,1,3,2,2,4,1,1,4,4,2,1,1,5
"367",1,3,1,3,4,2,2,2,4,4,2,2,2,4,5
"368",2,1,1,1,4,1,1,1,1,1,1,1,1,1,4
"369",4,2,1,2,2,5,3,2,1,4,5,4,4,5,4
"370",5,4,1,2,4,4,4,1,3,5,3,2,1,2,5
"371",3,4,4,2,4,1,2,4,2,2,3,3,5,5,4
"372",3,3,1,1,3,2,4,1,1,4,3,2,1,1,5
"373",5,4,1,2,2,1,3,3,2,1,4,2,3,4,5
"374",4,1,1,4,5,2,1,1,3,4,5,2,2,4,5
"375",5,4,1,4,5,5,2,1,5,1,5,4,1,5,5
"376",4,2,3,3,4,3,1,5,4,2,1,1,2,4,4
"377",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"378",1,5,1,1,1,1,1,1,3,3,3,3,1,1,3
"379",5,5,2,5,5,5,5,3,4,4,5,4,3,5,5
"380",3,3,1,2,2,1,3,2,0,5,4,3,2,3,5
"381",3,4,3,2,4,3,3,3,3,5,4,4,2,5,5
"382",2,1,1,1,2,1,1,1,1,2,1,1,1,1,2
"383",3,3,1,3,2,3,4,1,1,3,2,4,1,1,5
"384",5,5,2,5,4,5,4,4,5,5,5,5,2,4,5
"385",5,1,3,3,4,1,1,5,1,5,3,1,1,4,5
"386",3,2,4,4,4,3,3,0,4,4,4,3,3,4,4
"387",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
"388",2,4,1,1,3,4,5,1,1,5,5,1,1,3,5
"389",5,3,4,3,3,4,3,1,1,4,4,3,1,2,5
"390",5,5,3,4,4,5,5,3,5,4,4,3,3,5,5
"391",5,4,4,3,5,4,2,4,2,4,5,4,3,4,5
"392",2,3,2,5,5,4,4,2,2,5,4,3,1,5,5
"393",3,2,3,1,2,2,5,4,2,2,5,4,1,2,5
"394",3,4,3,3,5,2,3,2,3,5,4,4,1,5,5
"395",4,1,1,1,1,3,3,1,1,3,3,3,1,3,4
"396",4,4,1,2,4,4,3,1,3,3,4,4,2,4,5
"397",4,4,2,2,3,3,4,2,1,3,4,4,2,3,4
"398",4,2,5,3,4,4,2,5,4,4,3,2,5,3,5
"399",4,1,3,2,2,4,5,5,2,5,5,5,3,3,5
"400",1,1,1,1,1,1,1,1,1,1,1,1,1,2,4
"401",2,3,1,1,4,1,2,2,2,2,4,5,1,4,5
"402",5,2,5,3,3,5,3,5,1,4,5,3,3,5,5
"403",4,4,2,1,5,5,1,5,4,5,5,1,4,5,5
"404",3,1,1,1,2,1,1,1,1,1,1,1,1,2,3
"405",4,1,2,4,5,3,1,3,1,5,4,1,2,3,5
"406",4,4,1,3,3,4,4,2,3,4,3,3,1,1,4
"407",4,3,5,1,2,3,2,5,4,4,2,2,4,4,4
"408",5,3,1,3,5,5,4,1,2,4,3,4,1,3,5
"409",4,2,1,1,1,1,1,1,1,5,2,1,1,1,5
"410",1,3,3,4,4,4,5,4,4,4,4,4,4,4,4
"411",4,5,4,3,5,2,5,5,4,5,4,5,5,5,5
"412",3,1,1,1,1,4,1,1,1,2,2,1,1,1,4
"413",4,1,1,1,1,1,1,1,1,1,4,1,1,1,1
"414",5,1,1,1,5,1,1,1,1,5,1,1,1,5,5
"415",5,3,1,3,4,3,1,1,3,5,5,3,1,4,5
"416",5,3,3,4,4,5,2,4,2,4,4,4,2,4,5
"417",4,5,2,4,4,4,2,3,1,4,4,2,1,2,4
"418",1,1,1,1,2,1,1,1,1,1,1,2,1,2,2
"419",1,5,2,1,5,1,5,5,0,5,5,5,1,1,5
"420",1,1,1,2,2,1,1,1,1,2,1,1,1,1,2
"421",3,4,2,1,4,3,4,2,2,5,3,4,2,4,5
"422",5,5,3,4,5,5,0,5,3,5,5,5,3,3,5
"423",3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"424",5,5,4,3,3,5,4,5,5,5,5,5,5,5,5
"425",5,3,3,4,3,5,3,5,4,5,4,3,1,4,5
"426",5,3,1,2,1,5,2,3,4,5,5,3,1,1,5
"427",1,1,1,1,1,1,1,1,3,1,1,2,1,1,4
"428",5,1,3,4,5,4,1,5,1,4,4,1,1,3,2
"429",1,1,1,2,3,1,2,1,1,4,3,1,1,2,3
"430",4,3,4,2,2,2,2,1,1,2,3,2,1,2,4
"431",4,2,1,2,5,2,1,1,1,2,4,2,1,4,5
"432",5,3,1,1,4,2,3,1,1,4,2,1,1,4,4
"433",1,1,4,1,5,1,1,5,1,4,1,1,1,1,4
"434",3,5,3,4,2,1,4,4,2,2,0,4,2,0,3
"435",3,4,2,3,5,3,2,1,1,4,3,3,3,5,5
"436",2,1,1,3,2,1,1,1,1,4,2,1,1,1,4
"437",5,5,3,5,5,5,5,3,5,5,5,5,3,5,5
"438",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
"439",1,1,1,1,4,1,1,2,3,4,2,1,1,4,4
"440",4,5,4,4,4,4,4,4,4,4,4,4,3,5,5
"441",5,5,2,2,4,3,4,2,2,5,5,5,2,2,5
"442",5,2,1,3,5,5,1,2,1,5,4,1,1,4,5
"443",3,2,1,2,2,3,3,1,2,1,3,2,1,2,4
"444",5,4,1,5,3,4,4,4,1,2,3,4,2,4,5
"445",4,1,1,1,1,1,1,1,1,1,1,1,1,1,4
"446",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"447",4,4,5,2,4,4,1,4,2,2,3,2,2,2,4
"448",3,3,2,2,3,3,4,3,2,4,3,3,2,4,4
"449",1,1,1,1,3,1,1,1,1,1,1,1,1,1,3
"450",3,2,3,3,4,2,3,3,3,3,4,2,2,3,3
"451",5,5,5,4,0,4,4,5,4,5,5,0,4,4,5
"452",4,4,1,2,2,3,3,1,3,4,4,3,1,3,5
"453",4,4,1,2,1,3,4,1,4,4,3,3,1,2,4
"454",1,1,1,2,1,1,2,3,1,1,1,1,3,1,2
"455",4,3,5,2,3,3,2,5,1,1,3,3,3,2,5
"456",4,3,3,3,5,5,5,3,5,4,3,3,2,3,5
"457",5,5,5,5,5,5,5,5,4,4,4,5,5,4,5
"458",2,1,4,2,5,5,1,5,1,4,3,1,1,1,5
"459",5,5,5,5,5,5,5,5,4,3,5,0,5,5,5
"460",3,3,1,1,4,4,1,1,1,4,4,1,1,1,5
"461",4,4,1,2,4,1,1,1,4,4,3,4,1,4,5
"462",4,1,3,2,3,1,1,5,1,4,3,4,1,1,5
"463",1,5,2,2,4,1,1,1,4,2,1,4,1,5,4
"464",1,4,3,1,1,4,1,4,1,1,4,2,2,4,4
"465",2,3,1,2,3,2,1,1,2,4,3,1,1,3,4
"466",5,4,5,5,5,3,3,5,1,4,4,3,2,5,5
"467",1,1,1,1,2,1,1,1,1,4,1,1,1,2,2
"468",5,3,1,4,3,4,2,3,1,3,3,4,1,2,4
"469",2,2,2,2,1,3,2,2,2,1,2,2,2,1,3
"470",5,4,1,4,3,5,2,2,1,4,5,5,2,4,5
"471",5,5,3,5,5,5,5,3,5,4,5,5,4,5,5
"472",2,2,4,4,5,4,2,4,5,5,2,2,3,4,5
"473",1,2,1,1,1,1,1,1,1,3,1,1,1,1,1
"474",4,3,5,4,5,2,2,5,2,2,2,2,1,4,5
"475",5,5,1,3,3,2,4,1,1,4,4,0,1,1,4
"476",5,5,3,1,3,2,2,3,3,4,4,2,2,5,5
"477",1,3,4,0,5,1,2,5,2,5,2,1,4,2,4
"478",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"479",4,5,2,3,3,4,3,2,1,5,4,4,2,3,4
"480",5,1,1,4,4,2,1,1,1,5,5,1,1,1,5
"481",5,2,1,5,5,4,2,1,1,1,2,1,1,4,5
"482",4,5,4,4,4,5,5,4,4,5,5,5,4,5,5
"483",1,5,1,3,1,4,4,1,1,3,4,3,1,5,5
"484",5,3,5,5,4,5,4,3,2,2,3,4,2,2,4
"485",5,5,1,4,4,4,4,1,1,1,4,4,1,3,4
"486",2,1,1,1,3,2,2,1,1,2,1,1,1,1,2
"487",5,5,1,3,5,5,4,1,5,3,5,5,1,4,5
"488",4,4,3,3,3,4,3,5,3,4,4,4,2,4,5
"489",1,4,1,1,1,3,4,2,1,2,1,2,1,1,5
"490",4,1,1,2,4,1,1,1,3,4,4,2,1,4,4
"491",1,1,3,1,4,3,2,4,1,1,2,3,2,1,5
"492",5,5,2,5,5,5,5,2,1,3,4,5,2,5,5
"493",4,3,3,4,3,4,2,3,2,5,4,2,3,4,4
"494",4,3,4,1,3,1,5,5,3,5,3,3,3,2,5
"495",3,2,1,3,4,4,1,3,1,4,5,2,3,5,5
"496",3,2,1,2,3,2,1,1,2,1,1,1,1,3,4
"497",5,4,5,5,5,3,3,5,5,5,4,5,5,5,5
"498",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"499",5,5,1,1,1,3,3,1,4,4,4,4,1,4,4
"500",4,4,1,4,4,4,4,1,4,4,4,4,1,4,4
"501",1,1,1,1,4,2,1,1,1,4,3,2,1,1,4
"502",1,3,1,2,4,3,1,1,1,4,4,1,2,4,5
"503",3,3,1,1,1,3,2,4,1,3,5,1,3,4,5
"504",5,5,5,3,4,5,5,5,2,5,3,5,2,2,5
"505",5,1,4,1,4,3,1,4,1,4,2,1,1,2,5
"506",5,5,2,3,5,4,3,4,1,4,5,3,3,3,5
"507",1,3,1,1,1,3,1,1,1,2,4,1,1,2,5
"508",5,2,1,1,4,5,5,4,2,5,5,4,2,3,5
"509",1,1,1,1,3,1,1,1,3,3,2,1,1,2,4
"510",5,1,1,1,4,1,3,5,1,4,4,1,4,2,5
"511",4,3,1,1,4,2,1,1,1,4,2,1,1,1,4
"512",4,2,1,2,1,4,2,1,1,3,4,1,1,4,5
"513",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"514",1,1,2,2,2,2,4,2,2,3,0,2,2,2,2
"515",4,4,2,4,4,4,2,1,1,4,2,4,1,2,4
"516",3,3,3,3,4,2,3,3,4,4,4,4,3,4,4
"517",5,4,1,4,4,5,5,0,4,4,4,5,5,5,5
"518",5,5,1,3,5,1,1,1,1,5,1,1,1,1,4
"519",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"520",4,5,3,4,3,2,3,3,4,5,2,3,2,5,5
"521",3,3,2,2,5,4,3,4,3,5,3,2,4,4,5
"522",4,4,2,2,4,4,2,2,3,4,4,2,2,3,5
"523",1,4,1,1,1,1,4,1,1,1,1,1,1,1,4
"524",2,4,1,1,1,2,4,1,1,2,2,4,1,2,4
"525",5,2,4,2,5,4,1,5,3,5,2,3,3,2,3
"526",1,1,4,4,2,4,1,5,3,3,3,1,1,1,5
"527",4,4,1,4,4,5,4,3,4,5,4,5,3,2,5
"528",5,4,3,4,5,5,5,4,5,4,5,5,2,4,5
"529",3,3,3,4,3,2,2,3,4,3,4,3,3,4,4
"530",3,1,3,3,1,5,1,2,1,4,4,2,2,2,5
"531",4,4,3,3,3,4,4,3,4,4,3,3,2,3,4
"532",1,1,1,1,1,1,1,1,1,3,4,1,1,1,5
"533",5,4,3,1,5,2,1,4,1,5,4,4,3,4,5
"534",5,5,1,2,2,4,5,2,1,4,4,4,1,4,5
"535",5,5,5,1,4,5,5,5,1,4,1,1,1,4,5
"536",5,4,3,4,2,5,5,3,4,3,3,5,3,1,5
"537",5,3,2,3,3,4,5,4,3,5,3,2,4,2,5
"538",3,2,4,5,5,2,2,5,2,4,3,2,3,4,4
"539",4,5,5,4,4,3,3,5,4,5,4,4,5,4,5
"540",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"541",1,1,1,5,5,4,4,3,3,4,4,2,4,4,5
"542",1,3,1,1,3,1,1,3,1,3,2,1,1,1,3
"543",4,2,3,4,4,4,2,4,2,4,4,3,4,4,4
"544",3,1,1,4,4,1,1,1,1,4,1,1,1,1,4
"545",2,1,1,1,2,2,4,1,1,4,1,3,1,2,5
"546",3,3,2,2,4,2,4,4,2,4,3,2,2,2,4
"547",5,5,3,4,4,4,5,3,4,4,4,4,3,4,4
"548",2,4,1,4,5,2,2,5,1,5,5,2,5,2,5
"549",1,2,1,1,1,1,1,1,2,2,2,1,1,1,5
"550",5,1,1,2,4,3,3,2,1,5,2,1,1,1,4
"551",2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"552",5,1,1,1,2,5,1,1,1,4,5,1,1,4,5
"553",1,2,1,2,4,3,1,1,4,4,4,2,1,5,3
"554",5,5,4,5,5,5,5,4,4,5,5,5,5,5,5
"555",5,2,1,1,1,5,1,1,1,5,5,1,1,1,5
"556",5,1,1,3,3,2,1,1,1,2,2,1,1,5,3
"557",3,3,1,4,1,1,4,1,1,1,4,3,1,2,5
"558",4,5,3,5,5,5,5,3,2,5,4,5,4,4,5
"559",5,3,1,3,2,5,3,1,1,3,5,2,1,3,5
"560",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"561",1,4,1,1,1,2,1,1,1,1,1,1,1,1,1
"562",5,4,4,3,5,5,4,5,5,5,5,5,5,5,5
"563",5,4,1,4,4,5,4,2,5,5,4,5,2,5,5
"564",2,5,1,1,4,1,1,1,1,1,4,1,1,3,5
"565",5,5,1,2,4,5,4,1,4,5,5,4,1,5,5
"566",5,4,1,3,3,5,4,1,2,3,5,4,1,4,4
"567",4,3,1,1,3,4,3,1,2,2,2,4,1,2,5
"568",1,2,1,1,2,2,1,1,1,1,2,1,1,2,4
"569",1,4,3,4,1,5,3,5,1,1,4,4,5,5,5
"570",5,5,5,4,4,4,3,4,4,5,4,5,5,5,5
"571",1,2,1,1,4,1,2,1,2,3,3,2,1,2,4
"572",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"573",4,2,2,4,1,4,2,4,1,4,4,2,1,4,2
"574",5,4,3,4,5,5,3,3,5,5,5,4,3,5,5
"575",5,2,4,1,5,5,1,5,3,5,5,4,4,5,5
"576",1,1,1,1,4,1,1,1,1,1,2,1,1,1,3
"577",1,1,1,1,4,4,1,1,1,3,1,1,1,1,4
"578",4,4,3,4,5,4,4,3,3,3,5,5,3,4,4
"579",1,1,1,1,2,1,1,1,1,3,2,1,1,1,2
"580",4,4,2,2,4,5,4,4,3,4,4,3,2,2,4
"581",5,3,1,1,1,4,1,1,1,4,4,1,1,1,4
"582",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"583",2,2,1,3,4,5,3,2,1,5,4,2,2,1,5
"584",3,4,1,1,2,3,1,1,1,1,1,1,1,1,5
"585",1,1,1,1,5,1,1,1,1,2,1,1,1,1,5
"586",5,5,1,5,5,5,5,1,4,2,4,5,1,5,5
"587",5,5,3,5,5,5,4,3,5,5,5,5,5,5,5
"588",1,1,1,1,2,1,1,1,1,2,1,1,1,1,2
"589",4,3,2,4,4,4,2,2,2,4,4,2,2,4,5
"590",2,1,1,1,1,2,1,1,1,3,1,1,1,1,4
"591",5,5,1,4,4,5,4,1,5,5,5,4,1,5,5
"592",5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"593",3,4,2,3,4,3,4,2,4,4,4,3,1,4,4
"594",5,5,1,4,1,5,5,1,1,4,5,5,1,4,5
"595",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"596",4,3,3,4,4,4,3,5,3,3,4,3,5,4,3
"597",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"598",5,5,3,4,5,5,5,3,3,5,4,5,3,3,4
"599",4,4,2,3,3,3,3,2,2,4,4,3,2,2,4
"600",5,4,4,5,5,5,5,5,4,5,5,5,4,5,5
"601",5,5,4,3,5,1,1,4,5,4,5,4,4,5,5
"602",5,3,1,5,5,5,2,1,5,5,5,2,1,5,5
"603",4,2,1,4,1,4,2,1,4,4,3,3,1,3,4
"604",4,3,4,5,4,4,3,5,4,4,4,5,4,4,4
"605",4,4,3,3,5,2,4,3,3,4,3,3,2,3,4
"606",5,5,5,4,3,5,5,5,5,5,5,5,5,5,5
"607",4,5,3,3,4,3,4,5,3,5,5,5,3,5,5
"608",5,5,5,5,4,4,5,5,5,5,5,5,5,4,4
"609",5,5,4,4,5,5,4,3,3,5,5,4,3,5,5
"610",5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"611",5,5,4,5,5,5,5,5,3,5,5,5,4,3,5
"612",5,5,5,4,3,5,5,4,4,5,5,5,4,5,5
"613",5,5,4,3,4,5,5,4,3,4,5,5,3,4,4
"614",5,5,1,5,5,5,5,3,5,5,5,5,3,5,5
"615",5,5,5,5,5,5,5,5,5,5,5,5,3,3,5
"616",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"617",5,5,3,5,5,5,5,3,5,4,5,5,3,5,5
"618",4,5,5,4,5,5,5,5,4,5,1,5,3,4,5
"619",5,4,1,4,5,4,5,1,5,5,3,5,4,3,4
"620",5,5,1,5,5,5,4,1,5,5,5,5,1,5,5
"621",5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"622",4,5,2,1,5,3,2,1,3,2,5,3,3,4,5
"623",5,4,1,4,4,4,4,1,3,5,5,4,1,5,5
"624",5,5,5,5,5,5,5,5,1,5,5,5,5,5,5
"625",1,2,2,2,2,1,1,3,1,4,1,1,1,1,1
"626",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"627",4,5,1,3,4,4,4,1,4,4,5,5,1,3,5
"628",5,5,2,5,4,5,5,3,4,5,5,5,5,5,5
"629",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"630",4,5,2,4,5,5,4,1,2,5,5,4,2,5,5
"631",5,4,2,3,3,4,5,3,3,4,4,4,3,4,5
"632",4,5,3,4,3,4,4,5,3,5,4,5,4,3,4
"633",4,5,3,4,5,5,4,4,3,4,4,4,3,4,5
"634",4,5,4,4,4,4,4,3,3,5,3,5,2,4,4
"635",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"636",5,5,3,5,5,5,4,2,5,5,5,5,2,4,5
"637",3,5,3,3,5,3,5,4,3,5,3,3,3,5,4
"638",5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
"639",5,4,2,5,5,5,4,3,5,5,5,5,3,5,5
"640",5,5,5,5,5,5,5,5,5,5,0,5,5,5,5
"641",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"642",5,5,5,5,5,5,5,5,1,5,3,5,5,5,5
"643",5,3,1,5,5,1,1,1,4,5,5,1,1,4,5
"644",5,4,4,3,5,4,3,5,4,5,5,3,4,3,4
"645",5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
"646",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"647",5,5,5,4,5,5,5,5,5,5,5,5,4,5,5
"648",5,4,4,4,4,5,4,5,5,5,5,4,3,5,3
"649",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"650",5,5,3,5,5,5,5,5,5,5,5,5,3,4,5
"651",4,4,4,4,4,4,3,5,3,3,4,3,4,4,5
"652",5,4,1,5,5,3,4,5,4,5,5,4,4,5,5
"653",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"654",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"655",3,3,2,2,4,4,3,3,3,4,4,4,3,3,4
"656",4,4,3,4,3,4,4,4,4,4,4,4,4,4,4
"657",1,1,1,1,1,1,1,1,1,4,1,1,1,1,4
"658",4,3,2,4,5,4,2,1,3,3,4,3,1,3,5
"659",1,4,2,2,4,2,4,2,2,4,2,4,2,4,4
"660",4,3,3,3,5,4,2,4,2,4,4,4,4,3,5
"661",3,3,4,4,5,3,3,4,2,5,3,3,2,3,3
"662",1,2,1,1,1,1,2,1,1,2,1,1,1,1,1
"663",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"664",3,1,1,1,1,4,1,1,1,5,1,1,1,1,5
"665",4,5,4,4,4,4,4,5,4,4,4,5,4,4,4
"666",5,5,1,1,1,1,1,1,1,4,2,5,2,2,4
"667",4,2,2,3,4,5,2,3,3,4,4,4,2,3,3
"668",4,4,1,2,2,1,5,1,1,5,3,3,1,4,5
"669",2,2,1,1,2,2,2,1,2,1,2,1,1,1,3
"670",5,5,3,4,5,4,1,5,1,5,5,3,3,4,5
"671",5,3,1,2,3,3,1,3,3,4,5,1,1,3,5
"672",5,4,1,3,4,3,3,3,3,3,5,4,3,3,5
"673",3,3,1,1,5,1,1,3,1,3,1,1,1,1,3
"674",5,5,3,4,4,5,5,4,4,3,4,5,4,4,4
"675",3,4,1,1,1,1,4,1,1,2,3,3,1,2,4
"676",5,4,2,2,4,3,3,5,2,5,3,3,2,2,4
"677",4,3,1,4,4,2,3,2,1,4,3,2,4,4,3
"678",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"679",5,4,2,4,5,5,4,2,4,5,5,4,3,4,5
"680",5,2,1,1,1,4,2,1,1,5,5,4,1,1,2
"681",4,4,1,3,2,2,3,1,2,4,4,4,1,2,4
"682",5,5,5,5,5,3,5,5,4,3,5,5,3,5,5
"683",4,3,3,3,5,4,2,4,3,5,3,2,3,3,5
"684",1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
"685",5,4,3,4,4,4,5,5,5,3,4,4,5,5,5
"686",1,1,1,1,3,1,1,1,1,4,1,1,1,1,2
"687",4,4,4,3,3,4,3,3,2,4,3,3,2,3,4
"688",5,4,3,4,5,5,4,4,2,5,4,4,4,5,5
"689",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"690",4,1,1,1,2,4,1,1,1,3,4,1,1,1,5
"691",4,3,1,1,4,3,1,1,1,4,3,3,1,1,4
"692",5,5,5,5,3,5,5,3,5,5,5,3,3,5,5
"693",4,5,2,5,1,5,5,1,1,4,1,5,3,1,5
"694",5,3,3,5,5,5,5,4,3,5,4,5,3,4,5
"695",4,2,1,2,2,4,2,3,1,4,5,1,1,3,4
"696",5,5,3,3,0,4,4,4,5,4,4,4,4,4,5
"697",3,2,1,3,2,4,3,2,2,3,4,2,2,2,5
"698",5,5,1,5,5,5,5,5,5,3,5,5,1,5,5
"699",3,3,5,3,5,5,5,5,3,5,3,5,5,5,5
"700",4,4,2,3,2,2,4,2,2,4,2,4,2,2,4
"701",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"702",5,2,3,4,3,5,4,4,2,3,3,4,2,3,5
"703",4,2,2,4,4,4,2,3,2,5,4,3,3,4,4
"704",5,5,1,5,5,5,5,1,5,4,5,5,1,4,5
"705",5,5,2,2,3,4,2,1,1,1,5,2,1,4,5
"706",4,3,1,3,2,4,2,2,1,3,3,3,2,2,3
"707",2,1,1,2,4,2,1,1,1,4,2,1,1,1,4
"708",5,5,1,5,5,5,5,1,5,5,5,5,1,5,5
"709",1,2,1,3,1,1,1,2,1,3,1,1,2,2,3
"710",4,3,1,1,4,4,1,1,1,2,4,2,1,1,4
"711",5,5,2,5,5,5,5,5,4,5,5,5,5,5,5
"712",4,4,3,4,4,4,3,3,2,4,4,4,2,3,4
"713",4,5,4,3,3,4,5,5,5,4,3,4,5,3,3
"714",4,4,1,4,5,2,3,3,1,4,4,3,1,4,5
"715",5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
"716",1,1,4,1,1,4,1,5,1,4,1,4,3,1,3
"717",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"718",5,4,1,1,2,1,2,1,2,3,3,4,1,5,5
"719",3,4,1,2,3,1,1,2,1,4,2,2,1,1,5
"720",4,4,1,3,5,3,3,1,3,5,3,4,1,3,4
"721",5,5,1,4,5,5,5,5,2,5,5,5,1,1,5
"722",2,1,1,2,0,2,1,1,1,4,4,2,1,3,5
"723",3,4,1,3,2,4,4,2,4,5,4,4,4,2,5
"724",1,1,1,2,4,4,1,1,1,5,2,1,1,2,5
