"age","year","county","count"
"15_19",0,"ALEXANDER",0
"15_19",0,"BROWN",0
"15_19",0,"CALHOUN",0
"15_19",0,"CARROLL",5
"15_19",0,"CASS",0
"15_19",0,"CLARK",7
"15_19",0,"CLAY",0
"15_19",0,"CRAWFORD",4
"15_19",0,"CUMBERLAND",0
"15_19",0,"DE WITT",12
"15_19",0,"DOUGLAS",13
"15_19",0,"EDGAR",6
"15_19",0,"EDWARDS",0
"15_19",0,"FAYETTE",8
"15_19",0,"FORD",0
"15_19",0,"GALLATIN",0
"15_19",0,"GREENE",0
"15_19",0,"HAMILTON",0
"15_19",0,"HANCOCK",11
"15_19",0,"HARDIN",0
"15_19",0,"HENDERSON",0
"15_19",0,"IROQUOIS",17
"15_19",0,"JASPER",0
"15_19",0,"JERSEY",13
"15_19",0,"JO DAVIESS",11
"15_19",0,"JOHNSON",0
"15_19",0,"LAWRENCE",7
"15_19",0,"MARSHALL",0
"15_19",0,"MASON",0
"15_19",0,"MENARD",0
"15_19",0,"MERCER",7
"15_19",0,"MOULTRIE",0
"15_19",0,"PIATT",11
"15_19",0,"PIKE",7
"15_19",0,"POPE",0
"15_19",0,"PULASKI",0
"15_19",0,"PUTNAM",0
"15_19",0,"RICHLAND",7
"15_19",0,"SCHUYLER",0
"15_19",0,"SCOTT",0
"15_19",0,"SHELBY",13
"15_19",0,"STARK",0
"15_19",0,"UNION",11
"15_19",0,"WABASH",0
"15_19",0,"WASHINGTON",0
"15_19",0,"WAYNE",3
"15_19",0,"WHITE",0
"15_19",1,"ALEXANDER",0
"15_19",1,"BROWN",0
"15_19",1,"CALHOUN",0
"15_19",1,"CARROLL",4
"15_19",1,"CASS",0
"15_19",1,"CLARK",7
"15_19",1,"CLAY",0
"15_19",1,"CRAWFORD",3
"15_19",1,"CUMBERLAND",0
"15_19",1,"DE WITT",3
"15_19",1,"DOUGLAS",16
"15_19",1,"EDGAR",4
"15_19",1,"EDWARDS",0
"15_19",1,"FAYETTE",10
"15_19",1,"FORD",0
"15_19",1,"GALLATIN",0
"15_19",1,"GREENE",0
"15_19",1,"HAMILTON",0
"15_19",1,"HANCOCK",12
"15_19",1,"HARDIN",0
"15_19",1,"HENDERSON",0
"15_19",1,"IROQUOIS",7
"15_19",1,"JASPER",0
"15_19",1,"JERSEY",11
"15_19",1,"JO DAVIESS",9
"15_19",1,"JOHNSON",0
"15_19",1,"LAWRENCE",2
"15_19",1,"MARSHALL",0
"15_19",1,"MASON",0
"15_19",1,"MENARD",0
"15_19",1,"MERCER",4
"15_19",1,"MOULTRIE",0
"15_19",1,"PIATT",7
"15_19",1,"PIKE",5
"15_19",1,"POPE",0
"15_19",1,"PULASKI",0
"15_19",1,"PUTNAM",0
"15_19",1,"RICHLAND",2
"15_19",1,"SCHUYLER",0
"15_19",1,"SCOTT",0
"15_19",1,"SHELBY",8
"15_19",1,"STARK",0
"15_19",1,"UNION",15
"15_19",1,"WABASH",0
"15_19",1,"WASHINGTON",0
"15_19",1,"WAYNE",2
"15_19",1,"WHITE",0
"15_19",2,"ALEXANDER",0
"15_19",2,"BROWN",0
"15_19",2,"CALHOUN",0
"15_19",2,"CARROLL",5
"15_19",2,"CASS",0
"15_19",2,"CLARK",4
"15_19",2,"CLAY",0
"15_19",2,"CRAWFORD",8
"15_19",2,"CUMBERLAND",0
"15_19",2,"DE WITT",8
"15_19",2,"DOUGLAS",7
"15_19",2,"EDGAR",5
"15_19",2,"EDWARDS",0
"15_19",2,"FAYETTE",18
"15_19",2,"FORD",0
"15_19",2,"GALLATIN",0
"15_19",2,"GREENE",0
"15_19",2,"HAMILTON",0
"15_19",2,"HANCOCK",8
"15_19",2,"HARDIN",0
"15_19",2,"HENDERSON",0
"15_19",2,"IROQUOIS",15
"15_19",2,"JASPER",0
"15_19",2,"JERSEY",7
"15_19",2,"JO DAVIESS",8
"15_19",2,"JOHNSON",0
"15_19",2,"LAWRENCE",7
"15_19",2,"MARSHALL",0
"15_19",2,"MASON",0
"15_19",2,"MENARD",0
"15_19",2,"MERCER",7
"15_19",2,"MOULTRIE",0
"15_19",2,"PIATT",3
"15_19",2,"PIKE",4
"15_19",2,"POPE",0
"15_19",2,"PULASKI",0
"15_19",2,"PUTNAM",0
"15_19",2,"RICHLAND",2
"15_19",2,"SCHUYLER",0
"15_19",2,"SCOTT",0
"15_19",2,"SHELBY",4
"15_19",2,"STARK",0
"15_19",2,"UNION",7
"15_19",2,"WABASH",0
"15_19",2,"WASHINGTON",0
"15_19",2,"WAYNE",4
"15_19",2,"WHITE",0
"15_19",3,"ALEXANDER",0
"15_19",3,"BROWN",0
"15_19",3,"CALHOUN",0
"15_19",3,"CARROLL",3
"15_19",3,"CASS",0
"15_19",3,"CLARK",4
"15_19",3,"CLAY",0
"15_19",3,"CRAWFORD",4
"15_19",3,"CUMBERLAND",0
"15_19",3,"DE WITT",10
"15_19",3,"DOUGLAS",13
"15_19",3,"EDGAR",5
"15_19",3,"EDWARDS",0
"15_19",3,"FAYETTE",10
"15_19",3,"FORD",0
"15_19",3,"GALLATIN",0
"15_19",3,"GREENE",0
"15_19",3,"HAMILTON",0
"15_19",3,"HANCOCK",5
"15_19",3,"HARDIN",0
"15_19",3,"HENDERSON",0
"15_19",3,"IROQUOIS",12
"15_19",3,"JASPER",0
"15_19",3,"JERSEY",18
"15_19",3,"JO DAVIESS",10
"15_19",3,"JOHNSON",0
"15_19",3,"LAWRENCE",7
"15_19",3,"MARSHALL",0
"15_19",3,"MASON",0
"15_19",3,"MENARD",0
"15_19",3,"MERCER",11
"15_19",3,"MOULTRIE",0
"15_19",3,"PIATT",7
"15_19",3,"PIKE",14
"15_19",3,"POPE",0
"15_19",3,"PULASKI",0
"15_19",3,"PUTNAM",0
"15_19",3,"RICHLAND",6
"15_19",3,"SCHUYLER",0
"15_19",3,"SCOTT",0
"15_19",3,"SHELBY",5
"15_19",3,"STARK",0
"15_19",3,"UNION",14
"15_19",3,"WABASH",0
"15_19",3,"WASHINGTON",0
"15_19",3,"WAYNE",3
"15_19",3,"WHITE",0
"15_19",4,"ALEXANDER",0
"15_19",4,"BROWN",0
"15_19",4,"CALHOUN",0
"15_19",4,"CARROLL",4
"15_19",4,"CASS",0
"15_19",4,"CLARK",4
"15_19",4,"CLAY",0
"15_19",4,"CRAWFORD",6
"15_19",4,"CUMBERLAND",0
"15_19",4,"DE WITT",13
"15_19",4,"DOUGLAS",14
"15_19",4,"EDGAR",7
"15_19",4,"EDWARDS",0
"15_19",4,"FAYETTE",10
"15_19",4,"FORD",0
"15_19",4,"GALLATIN",0
"15_19",4,"GREENE",0
"15_19",4,"HAMILTON",0
"15_19",4,"HANCOCK",9
"15_19",4,"HARDIN",0
"15_19",4,"HENDERSON",0
"15_19",4,"IROQUOIS",11
"15_19",4,"JASPER",0
"15_19",4,"JERSEY",9
"15_19",4,"JO DAVIESS",5
"15_19",4,"JOHNSON",0
"15_19",4,"LAWRENCE",4
"15_19",4,"MARSHALL",0
"15_19",4,"MASON",0
"15_19",4,"MENARD",0
"15_19",4,"MERCER",14
"15_19",4,"MOULTRIE",0
"15_19",4,"PIATT",7
"15_19",4,"PIKE",7
"15_19",4,"POPE",0
"15_19",4,"PULASKI",0
"15_19",4,"PUTNAM",0
"15_19",4,"RICHLAND",5
"15_19",4,"SCHUYLER",0
"15_19",4,"SCOTT",0
"15_19",4,"SHELBY",7
"15_19",4,"STARK",0
"15_19",4,"UNION",14
"15_19",4,"WABASH",0
"15_19",4,"WASHINGTON",0
"15_19",4,"WAYNE",7
"15_19",4,"WHITE",0
"15_19",5,"ALEXANDER",0
"15_19",5,"BROWN",0
"15_19",5,"CALHOUN",0
"15_19",5,"CARROLL",5
"15_19",5,"CASS",0
"15_19",5,"CLARK",8
"15_19",5,"CLAY",0
"15_19",5,"CRAWFORD",9
"15_19",5,"CUMBERLAND",0
"15_19",5,"DE WITT",6
"15_19",5,"DOUGLAS",3
"15_19",5,"EDGAR",4
"15_19",5,"EDWARDS",0
"15_19",5,"FAYETTE",12
"15_19",5,"FORD",0
"15_19",5,"GALLATIN",0
"15_19",5,"GREENE",0
"15_19",5,"HAMILTON",0
"15_19",5,"HANCOCK",15
"15_19",5,"HARDIN",0
"15_19",5,"HENDERSON",0
"15_19",5,"IROQUOIS",11
"15_19",5,"JASPER",0
"15_19",5,"JERSEY",9
"15_19",5,"JO DAVIESS",2
"15_19",5,"JOHNSON",0
"15_19",5,"LAWRENCE",4
"15_19",5,"MARSHALL",0
"15_19",5,"MASON",0
"15_19",5,"MENARD",0
"15_19",5,"MERCER",7
"15_19",5,"MOULTRIE",0
"15_19",5,"PIATT",2
"15_19",5,"PIKE",12
"15_19",5,"POPE",0
"15_19",5,"PULASKI",0
"15_19",5,"PUTNAM",0
"15_19",5,"RICHLAND",1
"15_19",5,"SCHUYLER",0
"15_19",5,"SCOTT",0
"15_19",5,"SHELBY",10
"15_19",5,"STARK",0
"15_19",5,"UNION",20
"15_19",5,"WABASH",0
"15_19",5,"WASHINGTON",0
"15_19",5,"WAYNE",7
"15_19",5,"WHITE",0
"15_19",6,"ALEXANDER",0
"15_19",6,"BROWN",0
"15_19",6,"CALHOUN",0
"15_19",6,"CARROLL",2
"15_19",6,"CASS",0
"15_19",6,"CLARK",7
"15_19",6,"CLAY",0
"15_19",6,"CRAWFORD",2
"15_19",6,"CUMBERLAND",0
"15_19",6,"DE WITT",5
"15_19",6,"DOUGLAS",8
"15_19",6,"EDGAR",5
"15_19",6,"EDWARDS",0
"15_19",6,"FAYETTE",11
"15_19",6,"FORD",0
"15_19",6,"GALLATIN",0
"15_19",6,"GREENE",0
"15_19",6,"HAMILTON",0
"15_19",6,"HANCOCK",10
"15_19",6,"HARDIN",0
"15_19",6,"HENDERSON",0
"15_19",6,"IROQUOIS",10
"15_19",6,"JASPER",0
"15_19",6,"JERSEY",7
"15_19",6,"JO DAVIESS",11
"15_19",6,"JOHNSON",0
"15_19",6,"LAWRENCE",5
"15_19",6,"MARSHALL",0
"15_19",6,"MASON",0
"15_19",6,"MENARD",0
"15_19",6,"MERCER",10
"15_19",6,"MOULTRIE",0
"15_19",6,"PIATT",5
"15_19",6,"PIKE",12
"15_19",6,"POPE",0
"15_19",6,"PULASKI",0
"15_19",6,"PUTNAM",0
"15_19",6,"RICHLAND",3
"15_19",6,"SCHUYLER",0
"15_19",6,"SCOTT",0
"15_19",6,"SHELBY",7
"15_19",6,"STARK",0
"15_19",6,"UNION",11
"15_19",6,"WABASH",0
"15_19",6,"WASHINGTON",0
"15_19",6,"WAYNE",8
"15_19",6,"WHITE",0
"15_19",7,"ALEXANDER",0
"15_19",7,"BROWN",0
"15_19",7,"CALHOUN",0
"15_19",7,"CARROLL",11
"15_19",7,"CASS",0
"15_19",7,"CLARK",10
"15_19",7,"CLAY",0
"15_19",7,"CRAWFORD",10
"15_19",7,"CUMBERLAND",0
"15_19",7,"DE WITT",17
"15_19",7,"DOUGLAS",9
"15_19",7,"EDGAR",6
"15_19",7,"EDWARDS",0
"15_19",7,"FAYETTE",9
"15_19",7,"FORD",0
"15_19",7,"GALLATIN",0
"15_19",7,"GREENE",0
"15_19",7,"HAMILTON",0
"15_19",7,"HANCOCK",10
"15_19",7,"HARDIN",0
"15_19",7,"HENDERSON",0
"15_19",7,"IROQUOIS",14
"15_19",7,"JASPER",0
"15_19",7,"JERSEY",10
"15_19",7,"JO DAVIESS",5
"15_19",7,"JOHNSON",0
"15_19",7,"LAWRENCE",10
"15_19",7,"MARSHALL",0
"15_19",7,"MASON",0
"15_19",7,"MENARD",0
"15_19",7,"MERCER",13
"15_19",7,"MOULTRIE",0
"15_19",7,"PIATT",7
"15_19",7,"PIKE",7
"15_19",7,"POPE",0
"15_19",7,"PULASKI",0
"15_19",7,"PUTNAM",0
"15_19",7,"RICHLAND",8
"15_19",7,"SCHUYLER",0
"15_19",7,"SCOTT",0
"15_19",7,"SHELBY",4
"15_19",7,"STARK",0
"15_19",7,"UNION",8
"15_19",7,"WABASH",0
"15_19",7,"WASHINGTON",0
"15_19",7,"WAYNE",5
"15_19",7,"WHITE",0
"15_19",8,"ALEXANDER",0
"15_19",8,"BROWN",0
"15_19",8,"CALHOUN",0
"15_19",8,"CARROLL",3
"15_19",8,"CASS",0
"15_19",8,"CLARK",8
"15_19",8,"CLAY",0
"15_19",8,"CRAWFORD",10
"15_19",8,"CUMBERLAND",0
"15_19",8,"DE WITT",11
"15_19",8,"DOUGLAS",8
"15_19",8,"EDGAR",2
"15_19",8,"EDWARDS",0
"15_19",8,"FAYETTE",12
"15_19",8,"FORD",0
"15_19",8,"GALLATIN",0
"15_19",8,"GREENE",0
"15_19",8,"HAMILTON",0
"15_19",8,"HANCOCK",7
"15_19",8,"HARDIN",0
"15_19",8,"HENDERSON",0
"15_19",8,"IROQUOIS",5
"15_19",8,"JASPER",0
"15_19",8,"JERSEY",13
"15_19",8,"JO DAVIESS",11
"15_19",8,"JOHNSON",0
"15_19",8,"LAWRENCE",6
"15_19",8,"MARSHALL",0
"15_19",8,"MASON",0
"15_19",8,"MENARD",0
"15_19",8,"MERCER",11
"15_19",8,"MOULTRIE",0
"15_19",8,"PIATT",12
"15_19",8,"PIKE",7
"15_19",8,"POPE",0
"15_19",8,"PULASKI",0
"15_19",8,"PUTNAM",0
"15_19",8,"RICHLAND",2
"15_19",8,"SCHUYLER",0
"15_19",8,"SCOTT",0
"15_19",8,"SHELBY",10
"15_19",8,"STARK",0
"15_19",8,"UNION",11
"15_19",8,"WABASH",0
"15_19",8,"WASHINGTON",0
"15_19",8,"WAYNE",8
"15_19",8,"WHITE",0
"15_19",9,"ALEXANDER",0
"15_19",9,"BROWN",0
"15_19",9,"CALHOUN",0
"15_19",9,"CARROLL",11
"15_19",9,"CASS",0
"15_19",9,"CLARK",12
"15_19",9,"CLAY",0
"15_19",9,"CRAWFORD",10
"15_19",9,"CUMBERLAND",0
"15_19",9,"DE WITT",10
"15_19",9,"DOUGLAS",16
"15_19",9,"EDGAR",9
"15_19",9,"EDWARDS",0
"15_19",9,"FAYETTE",13
"15_19",9,"FORD",0
"15_19",9,"GALLATIN",0
"15_19",9,"GREENE",0
"15_19",9,"HAMILTON",0
"15_19",9,"HANCOCK",7
"15_19",9,"HARDIN",0
"15_19",9,"HENDERSON",0
"15_19",9,"IROQUOIS",8
"15_19",9,"JASPER",0
"15_19",9,"JERSEY",17
"15_19",9,"JO DAVIESS",14
"15_19",9,"JOHNSON",0
"15_19",9,"LAWRENCE",4
"15_19",9,"MARSHALL",0
"15_19",9,"MASON",0
"20_24",0,"ALEXANDER",0
"20_24",0,"BROWN",0
"20_24",0,"CALHOUN",0
"20_24",0,"CARROLL",2
"20_24",0,"CASS",0
"20_24",0,"CLARK",3
"20_24",0,"CLAY",0
"20_24",0,"CRAWFORD",8
"20_24",0,"CUMBERLAND",0
"20_24",0,"DE WITT",6
"20_24",0,"DOUGLAS",9
"20_24",0,"EDGAR",5
"20_24",0,"EDWARDS",0
"20_24",0,"FAYETTE",5
"20_24",0,"FORD",0
"20_24",0,"GALLATIN",0
"20_24",0,"GREENE",0
"20_24",0,"HAMILTON",0
"20_24",0,"HANCOCK",11
"20_24",0,"HARDIN",0
"20_24",0,"HENDERSON",0
"20_24",0,"IROQUOIS",6
"20_24",0,"JASPER",0
"20_24",0,"JERSEY",7
"20_24",0,"JO DAVIESS",8
"20_24",0,"JOHNSON",0
"20_24",0,"LAWRENCE",3
"20_24",0,"MARSHALL",0
"20_24",0,"MASON",0
"20_24",0,"MENARD",0
"20_24",0,"MERCER",5
"20_24",0,"MOULTRIE",0
"20_24",0,"PIATT",4
"20_24",0,"PIKE",7
"20_24",0,"POPE",0
"20_24",0,"PULASKI",0
"20_24",0,"PUTNAM",0
"20_24",0,"RICHLAND",2
"20_24",0,"SCHUYLER",0
"20_24",0,"SCOTT",0
"20_24",0,"SHELBY",2
"20_24",0,"STARK",0
"20_24",0,"UNION",11
"20_24",0,"WABASH",0
"20_24",0,"WASHINGTON",0
"20_24",0,"WAYNE",1
"20_24",0,"WHITE",0
"20_24",1,"ALEXANDER",0
"20_24",1,"BROWN",0
"20_24",1,"CALHOUN",0
"20_24",1,"CARROLL",4
"20_24",1,"CASS",0
"20_24",1,"CLARK",3
"20_24",1,"CLAY",0
"20_24",1,"CRAWFORD",7
"20_24",1,"CUMBERLAND",0
"20_24",1,"DE WITT",4
"20_24",1,"DOUGLAS",4
"20_24",1,"EDGAR",7
"20_24",1,"EDWARDS",0
"20_24",1,"FAYETTE",7
"20_24",1,"FORD",0
"20_24",1,"GALLATIN",0
"20_24",1,"GREENE",0
"20_24",1,"HAMILTON",0
"20_24",1,"HANCOCK",3
"20_24",1,"HARDIN",0
"20_24",1,"HENDERSON",0
"20_24",1,"IROQUOIS",11
"20_24",1,"JASPER",0
"20_24",1,"JERSEY",8
"20_24",1,"JO DAVIESS",9
"20_24",1,"JOHNSON",0
"20_24",1,"LAWRENCE",3
"20_24",1,"MARSHALL",0
"20_24",1,"MASON",0
"20_24",1,"MENARD",0
"20_24",1,"MERCER",5
"20_24",1,"MOULTRIE",0
"20_24",1,"PIATT",7
"20_24",1,"PIKE",2
"20_24",1,"POPE",0
"20_24",1,"PULASKI",0
"20_24",1,"PUTNAM",0
"20_24",1,"RICHLAND",6
"20_24",1,"SCHUYLER",0
"20_24",1,"SCOTT",0
"20_24",1,"SHELBY",4
"20_24",1,"STARK",0
"20_24",1,"UNION",10
"20_24",1,"WABASH",0
"20_24",1,"WASHINGTON",0
"20_24",1,"WAYNE",6
"20_24",1,"WHITE",0
"20_24",2,"ALEXANDER",0
"20_24",2,"BROWN",0
"20_24",2,"CALHOUN",0
"20_24",2,"CARROLL",4
"20_24",2,"CASS",0
"20_24",2,"CLARK",2
"20_24",2,"CLAY",0
"20_24",2,"CRAWFORD",3
"20_24",2,"CUMBERLAND",0
"20_24",2,"DE WITT",12
"20_24",2,"DOUGLAS",7
"20_24",2,"EDGAR",5
"20_24",2,"EDWARDS",0
"20_24",2,"FAYETTE",6
"20_24",2,"FORD",0
"20_24",2,"GALLATIN",0
"20_24",2,"GREENE",0
"20_24",2,"HAMILTON",0
"20_24",2,"HANCOCK",8
"20_24",2,"HARDIN",0
"20_24",2,"HENDERSON",0
"20_24",2,"IROQUOIS",7
"20_24",2,"JASPER",0
"20_24",2,"JERSEY",5
"20_24",2,"JO DAVIESS",7
"20_24",2,"JOHNSON",0
"20_24",2,"LAWRENCE",5
"20_24",2,"MARSHALL",0
"20_24",2,"MASON",0
"20_24",2,"MENARD",0
"20_24",2,"MERCER",14
"20_24",2,"MOULTRIE",0
"20_24",2,"PIATT",9
"20_24",2,"PIKE",6
"20_24",2,"POPE",0
"20_24",2,"PULASKI",0
"20_24",2,"PUTNAM",0
"20_24",2,"RICHLAND",7
"20_24",2,"SCHUYLER",0
"20_24",2,"SCOTT",0
"20_24",2,"SHELBY",7
"20_24",2,"STARK",0
"20_24",2,"UNION",14
"20_24",2,"WABASH",0
"20_24",2,"WASHINGTON",0
"20_24",2,"WAYNE",4
"20_24",2,"WHITE",0
"20_24",3,"ALEXANDER",0
"20_24",3,"BROWN",0
"20_24",3,"CALHOUN",0
"20_24",3,"CARROLL",13
"20_24",3,"CASS",0
"20_24",3,"CLARK",8
"20_24",3,"CLAY",0
