rank,neighboorhood,men.yr,women.yr,income
36,San Francisco,75.04,84.25,12.892
34,Bilbao la Vieja,75.04,84.25,13.846
37,Otxarkoaga,75.74,86.22,11.172
5,Casco Viejo,76.15,87.82,22.83
3,Casta–os,77.98,86.45,28.702
24,Atxuri,78.25,84.39,15.761
27,Zorrotza,78.45,87.26,14.788
26,Olabeaga,78.45,87.26,15.413
28,Larraskitu,78.47,86.33,14.756
25,Errekaldeberri,78.47,86.33,15.708
29,La Pe–a,78.68,85.22,14.525
13,Txurdinaga,79.05,83.59,18.378
18,Zurbaran,79.14,87.09,17.865
4,Miribilla,79.17,84.68,24.71
14,San Ignacio,79.22,87.17,18.143
11,Ibarrekolanda,79.48,85.94,20.19
20,San Adri‡n,79.61,86.56,17.247
7,Basurtu,79.74,85.71,22.38
9,Bego–a,79.89,89.18,21.829
22,Uribarri,80.15,95.5,16.072
30,Bolueta,80.2,89.29,14.26
23,La Ribera,80.21,87.5,15.84
6,San Pedro de Deustu,80.21,87.5,22.799
1,Abando,80.24,86.39,34.844
19,Solokoetxe,80.63,87.18,17.581
12,Iturralde,80.63,87.18,18.51
21,Santutxu,80.83,86.27,16.113
16,Matiko,81.07,87.51,18.083
8,Ciudad Jard’n,81.07,87.51,22.139
10,Ametzola,81.26,87.34,20.979
2,Indautxu,81.44,87.27,33.958