city,oc.prop,oc.spa,oc.jack,ab.spa,ab.jack,ab.prop,dif
Säffle (Värmland),1,7,0,12,51,0.19,0.81
Stenungsund (Bohuslän),1,43,0,50,48,0.51,0.49
Varberg (Halland),0.98,49,1,48,25,0.658,0.322
Örebro (Närke),0.914,32,3,6,49,0.109,0.805
Kumla (Närke),1,24,0,15,30,0.333,0.667
Alingsås A (Västergötland),0.967,59,2,38,29,0.567,0.4
Alingsås B (Västergötland),0.889,18,1,3,69,0.042,0.847
Karlsborg (Västergötland),0.984,63,1,29,24,0.547,0.437
Skövde (Västergötland),0.964,81,3,73,39,0.652,0.312
Mariestad (Västergötland),0.784,29,8,16,26,0.381,0.403
Hjo (Västergötland),0.964,54,2,42,96,0.304,0.66
Vårgårda (Västergötland),1,37,0,54,13,0.806,0.194
Skara (Västergötland),1,15,0,6,37,0.14,0.86
Vänersborg (Västergötland),1,21,0,13,39,0.25,0.75
Lidköping (Västergötland),0.983,235,4,115,45,0.719,0.264
Norrahammar (Småland),0.893,50,6,42,46,0.477,0.416
Jönköping (Småland),1,45,0,39,43,0.476,0.524
Huskvarna (Småland),1,84,0,38,87,0.304,0.696
Gränna (Småland),0.84,21,4,29,98,0.228,0.612
Eksjö (Småland),1,9,0,20,14,0.588,0.412
Vimmerby (Småland),1,80,0,29,88,0.248,0.752