genero;pais;fumador;edad;avion;tormenta;obscuridad;altura;arana;serpiente;rata;envejecer;perros;publico;autoestima;miedo
masculino;US;si;22;1;1;1;1;1;5;3;1;3;2;72,5;38
masculino;US;si;18;1;1;1;2;1;1;1;3;1;4;65;32
femenino;US;si;19;1;1;1;1;1;1;1;1;1;2;67,5;22
masculino;US;no;20;2;1;1;3;5;5;5;4;5;5;70;72
masculino;EU;si;23;1;2;1;1;1;1;2;2;4;3;62,5;36
femenino;CA;no;26;3;2;2;2;1;2;2;1;1;3;62,5;38
masculino;US;si;18;1;3;2;1;1;5;1;4;1;1;77,5;40
masculino;US;si;23;3;2;4;3;1;5;3;1;2;4;55;56
masculino;US;si;19;2;3;1;5;5;5;2;2;3;4;62,5;64
femenino;US;si;19;4;5;4;5;3;4;4;3;5;3;57,5;80
masculino;US;si;20;1;1;2;2;2;1;1;1;4;2;77,5;34
femenino;SE;no;23;4;1;1;3;5;5;5;5;5;5;77,5;78
femenino;GB;si;23;1;1;1;1;1;3;1;5;2;2;65;36
masculino;US;si;19;2;3;3;4;3;4;3;2;1;3;60;56
masculino;GB;no;21;5;5;3;3;2;5;1;5;5;3;67,5;74
masculino;GB;si;18;5;1;1;1;1;1;1;1;1;2;65;30
femenino;NZ;si;24;1;3;5;4;5;3;1;2;5;4;80;66
masculino;CA;si;22;3;5;5;5;4;4;1;5;5;3;60;80
masculino;DE;si;23;1;1;1;1;1;1;1;1;1;2;72,5;22
femenino;AE;no;26;3;2;2;4;4;2;2;2;2;3;65;52
femenino;US;si;23;2;2;2;2;2;2;2;1;1;2;77,5;36
femenino;BE;si;19;1;1;1;1;1;1;1;1;1;1;67,5;20
masculino;GB;si;25;1;2;1;1;5;5;3;1;3;3;77,5;50
masculino;DE;no;20;2;4;5;3;3;3;2;3;3;3;72,5;62
masculino;US;no;22;1;1;2;1;5;5;4;5;5;5;77,5;68
femenino;GB;no;24;3;2;2;3;5;2;1;4;4;2;65;56
masculino;IN;no;18;1;1;1;1;1;2;1;2;2;3;82,5;30
masculino;IN;si;22;3;5;2;2;5;5;1;4;1;2;70;60
masculino;US;no;21;1;1;2;4;4;4;3;4;1;2;62,5;52
femenino;US;si;19;3;3;4;5;5;5;5;5;5;3;60;86
masculino;US;si;18;1;1;1;3;5;3;3;4;3;4;70;56
masculino;US;si;26;1;1;1;1;2;5;3;1;3;2;65;40
masculino;US;no;24;3;5;5;5;5;5;5;1;5;2;65;82
femenino;US;no;18;1;5;2;4;4;5;3;1;2;4;57,5;62
masculino;US;si;25;1;2;2;1;2;2;2;1;2;3;62,5;36
femenino;US;no;24;3;5;3;3;4;5;4;5;5;1;80;76
femenino;US;no;19;3;1;4;3;5;4;1;3;2;5;62,5;62
femenino;US;no;26;1;1;1;3;;1;1;3;3;2;72,5;32
masculino;NZ;no;23;3;4;2;4;5;1;1;1;3;2;67,5;52
femenino;US;no;23;3;3;2;2;5;5;5;3;4;4;67,5;72
masculino;HU;si;23;1;3;5;3;5;2;5;3;5;3;67,5;70
femenino;GB;no;25;2;1;1;1;1;1;1;1;1;2;70;24
masculino;US;no;18;1;1;3;1;5;1;1;1;3;5;62,5;44
masculino;FR;no;23;1;3;4;5;5;5;3;2;4;1;72,5;66
femenino;BE;si;26;3;2;4;5;5;5;3;3;5;3;67,5;76
masculino;SG;no;19;5;2;2;5;5;4;1;5;4;4;67,5;74
femenino;US;no;21;1;1;1;1;1;2;1;1;2;1;57,5;24
masculino;US;no;18;1;2;1;3;1;3;5;3;4;4;62,5;54
masculino;US;si;21;3;1;2;2;2;3;3;5;3;1;62,5;50
femenino;MX;si;22;3;1;5;4;5;3;2;3;2;5;72,5;66
masculino;US;si;23;1;2;1;2;2;2;4;2;5;4;67,5;50
masculino;US;si;26;3;1;3;1;5;1;1;1;2;2;67,5;40
masculino;GB;no;26;3;3;5;4;5;5;4;3;1;3;65;72
other;PL;no;19;3;1;1;1;5;1;3;1;3;5;62,5;48
masculino;CA;no;21;3;2;5;5;3;5;4;1;5;2;70;70
femenino;CA;no;21;2;2;5;3;5;5;5;3;5;4;67,5;78
masculino;AU;si;24;3;1;5;3;3;5;1;5;1;3;72,5;60
masculino;CA;si;24;2;2;2;2;5;3;3;4;4;5;62,5;64
femenino;CA;no;26;1;1;2;5;1;5;3;5;4;3;72,5;60
masculino;AU;si;19;5;1;1;4;2;3;1;1;2;5;52,5;50
femenino;AL;si;22;1;1;1;2;2;3;2;2;3;5;65;44
masculino;US;si;22;1;1;1;3;3;4;4;4;4;2;70;54
femenino;BR;si;18;5;5;5;5;5;5;5;5;5;4;70;98
masculino;US;si;21;3;2;2;4;;4;3;2;3;3;47,5;52
masculino;AE;no;26;1;2;5;3;5;1;3;5;4;3;65;64
masculino;DE;no;25;1;1;2;2;1;2;1;4;2;4;70;40
masculino;DE;si;19;3;2;3;5;1;3;2;1;1;3;65;48
femenino;RO;si;26;1;1;2;4;1;3;2;2;5;2;75;46
masculino;RO;si;20;3;5;2;2;4;5;3;1;3;5;67,5;66
masculino;PT;no;22;2;5;1;1;1;5;5;1;5;3;60;58
femenino;GB;no;19;2;2;2;2;4;3;3;3;4;3;62,5;56
femenino;AU;no;24;1;1;1;4;3;4;3;5;5;1;67,5;56
femenino;GB;no;22;1;3;3;3;5;5;4;3;4;4;65;70
femenino;GB;no;18;5;2;1;3;3;3;3;5;3;5;60;66
masculino;CA;si;18;5;5;1;4;3;4;3;3;5;2;70;70
femenino;US;si;19;2;1;2;5;1;2;1;1;2;1;62,5;36
masculino;US;no;23;2;3;2;3;1;5;2;1;3;3;62,5;50
masculino;US;no;25;1;1;1;3;5;5;2;2;5;3;57,5;56
femenino;AU;si;19;1;1;1;1;3;3;3;5;3;4;67,5;50
masculino;SE;no;26;2;3;2;4;5;5;5;2;3;4;57,5;70
masculino;NL;no;23;2;1;4;2;3;4;3;1;3;4;55;54
masculino;GB;si;23;1;1;2;2;1;1;1;1;4;1;67,5;30
femenino;GB;no;19;2;1;5;2;3;4;1;1;3;5;77,5;54
femenino;BE;no;25;3;4;5;3;5;4;4;3;3;3;70;74
masculino;ZA;no;25;1;1;1;3;3;1;1;1;1;4;65;34
femenino;MX;si;24;2;3;4;5;2;4;4;1;4;3;62,5;64
femenino;US;si;20;4;4;4;4;2;2;3;3;1;5;67,5;64
femenino;US;si;19;1;2;2;1;3;3;3;5;3;2;65;50
femenino;CA;si;24;5;2;2;4;5;1;2;1;5;5;70;64
masculino;AU;si;25;3;3;2;3;2;3;5;4;5;3;62,5;66
masculino;US;no;18;2;3;1;3;5;3;1;5;4;3;70;60
masculino;US;si;22;1;3;1;1;5;5;5;5;5;1;70;64
femenino;MY;si;21;2;1;2;1;1;2;1;1;2;2;72,5;30
masculino;US;si;26;5;4;2;4;2;1;;1;1;1;70;42
masculino;GB;no;21;1;1;1;4;2;1;1;1;1;3;65;32
femenino;US;no;22;1;2;2;1;4;4;4;4;5;2;55;58
femenino;US;no;24;1;1;1;2;4;1;1;1;5;5;60;44
femenino;US;no;25;1;1;2;3;2;4;1;1;1;2;62,5;36
masculino;GB;si;18;1;1;1;3;5;1;1;3;3;1;70;40
femenino;CA;no;19;2;2;3;3;5;2;1;2;2;4;70;52
femenino;ID;no;24;3;4;3;5;4;3;3;1;5;3;60;68
femenino;US;si;22;2;1;1;2;5;5;3;1;3;3;7,5;52
femenino;US;no;25;1;2;4;1;1;1;4;2;1;3;67,5;40
masculino;MX;si;19;1;1;1;1;4;4;1;4;2;1;65;40
femenino;CN;si;24;1;1;1;3;1;1;1;1;1;1;65;24
femenino;GB;si;26;1;2;1;2;1;4;2;1;2;2;65;36
femenino;BR;no;21;2;1;1;1;2;2;2;3;2;3;57,5;38
femenino;DE;si;23;4;2;5;1;1;1;3;1;;1;65;38
femenino;US;no;21;1;1;2;4;5;3;2;5;4;2;77,5;58
masculino;NL;si;18;3;1;3;2;1;4;4;1;3;4;72,5;52
femenino;US;si;19;1;1;2;4;4;4;1;2;1;2;65;44
masculino;US;no;22;2;2;2;3;5;4;5;1;5;5;65;68
femenino;US;si;22;2;4;3;1;4;4;1;2;3;3;62,5;54
masculino;US;si;25;1;1;3;;3;3;3;1;1;1;67,5;34
masculino;GB;si;24;1;1;2;2;5;5;1;3;5;5;57,5;60
femenino;KR;si;18;1;1;4;5;5;5;3;5;5;2;72,5;72
femenino;PT;no;26;4;2;5;5;5;5;1;3;5;4;57,5;78
femenino;US;si;20;3;1;2;4;3;5;3;2;2;4;70;58
femenino;US;si;20;2;1;1;1;2;1;1;2;1;3;65;30
masculino;US;si;26;4;2;1;2;2;4;1;1;2;3;70;44
masculino;TR;no;26;1;1;2;1;1;4;4;1;1;2;67,5;36
femenino;US;no;26;1;1;1;2;1;2;3;2;3;3;62,5;38
femenino;US;si;25;4;2;1;2;2;4;3;2;2;2;70;48
masculino;BG;no;25;2;2;1;1;1;1;1;3;2;4;70;36
femenino;US;no;22;1;1;1;2;1;1;1;1;2;1;72,5;24
masculino;US;no;24;3;2;2;2;4;3;2;4;4;3;70;58
femenino;US;si;21;4;3;5;4;1;4;4;4;5;3;60;74
femenino;ES;si;20;1;2;2;2;2;2;2;4;2;2;70;42
masculino;GB;no;20;1;1;1;3;1;1;1;5;5;5;60;48
femenino;DE;si;20;2;4;4;2;2;1;2;3;1;3;60;48
masculino;US;si;18;1;1;3;1;4;4;5;5;4;3;70;62
masculino;US;si;19;1;2;3;4;2;2;3;1;4;2;72,5;48
masculino;NZ;si;24;1;1;2;1;5;3;5;3;1;4;65;52
masculino;IL;no;26;3;3;5;4;4;4;2;2;3;2;65;64
femenino;US;no;20;3;3;3;3;5;3;1;5;5;5;72,5;72
masculino;US;si;22;4;4;5;5;5;2;1;3;1;1;65;62
masculino;GB;no;24;1;1;2;4;5;3;1;1;3;2;57,5;46
femenino;PL;si;23;5;2;2;2;3;4;1;2;4;2;72,5;54
masculino;US;si;24;1;1;1;1;1;2;2;1;4;3;35;34
femenino;AU;si;18;4;4;4;4;3;5;5;4;5;2;67,5;80
masculino;MX;no;19;2;2;2;5;2;4;3;2;4;3;60;58
masculino;US;no;20;1;2;4;5;1;3;1;5;3;1;72,5;52
femenino;NL;si;18;3;3;1;4;4;4;4;4;5;3;62,5;70
masculino;NL;si;25;2;3;4;5;5;5;5;4;2;4;67,5;78
femenino;CA;si;26;1;1;1;1;1;1;1;1;2;5;65;30
masculino;US;si;23;2;3;4;3;5;4;3;3;4;3;87,5;68
femenino;US;si;22;1;1;1;3;1;3;1;1;3;2;70;34
femenino;US;no;25;1;1;1;2;2;2;2;3;3;4;65;42
femenino;US;no;23;1;2;2;3;2;3;2;2;4;3;72,5;48
femenino;PL;si;26;1;1;2;3;1;2;1;2;3;4;72,5;40
femenino;DE;si;21;2;1;2;1;5;2;1;3;3;3;62,5;46
femenino;ID;no;23;3;2;1;4;3;3;4;2;2;4;65;56
masculino;DE;no;23;5;1;3;3;2;3;3;5;4;1;57,5;60
masculino;IN;si;26;1;3;2;3;5;4;4;4;5;3;77,5;68
masculino;CA;no;21;1;1;2;2;5;3;2;3;1;3;65;46
femenino;US;no;22;1;1;5;1;2;1;5;3;1;3;62,5;46
femenino;GB;no;26;1;1;1;5;1;1;1;1;5;2;70;38
masculino;US;no;19;1;1;1;1;2;2;2;2;5;2;67,5;38
femenino;US;no;21;3;3;2;1;5;2;2;3;5;4;67,5;60
femenino;AU;no;18;2;2;3;4;2;2;3;2;3;2;67,5;50
femenino;US;si;22;1;1;1;2;1;1;1;1;1;2;72,5;24
femenino;US;no;24;1;2;1;1;4;1;1;5;1;3;65;40
masculino;CA;no;22;1;1;1;2;2;5;3;1;3;2;65;42
femenino;US;no;20;3;3;2;4;4;3;2;2;3;4;62,5;60
masculino;ZA;no;20;2;1;3;2;2;2;2;4;1;4;70;46
masculino;US;no;19;3;2;2;4;4;4;5;4;4;4;67,5;72
masculino;US;si;25;1;1;2;2;4;1;1;3;2;1;77,5;36
masculino;US;no;18;3;3;4;4;4;4;3;3;4;4;62,5;72
masculino;AU;si;26;1;1;1;1;1;1;1;2;2;1;65;24
masculino;US;si;20;1;2;1;1;5;3;1;1;1;3;67,5;38
masculino;HK;si;19;2;2;4;3;3;5;4;3;3;2;62,5;62
masculino;GB;no;24;1;1;1;1;1;1;1;3;1;1;62,5;24
femenino;US;no;25;3;1;3;2;1;1;1;4;4;5;70;50
femenino;US;si;22;1;1;2;3;2;4;3;2;1;4;60;46
masculino;AU;no;19;1;5;5;5;5;5;5;5;5;;67,5;82
masculino;AU;si;20;2;1;4;1;3;5;1;4;2;3;70;52
femenino;AU;si;23;2;1;1;3;1;1;1;1;1;1;77,5;26
masculino;US;si;20;3;1;2;;1;2;3;5;1;3;65;42
masculino;CA;si;22;2;2;2;4;2;1;1;5;3;3;70;50
masculino;GB;no;26;2;2;4;2;5;1;1;3;5;2;60;54
femenino;US;no;21;1;1;1;1;1;1;1;1;1;1;65;20
femenino;CA;no;24;1;1;1;1;1;2;3;2;2;2;75;32
masculino;US;si;22;2;3;2;1;5;4;2;1;2;3;92,5;50
masculino;US;si;19;2;2;2;2;3;1;2;1;1;1;67,5;34
femenino;DE;si;23;3;5;1;3;2;5;2;4;5;3;70;66
masculino;BE;no;24;1;5;1;1;3;5;3;3;4;2;72,5;56
femenino;US;no;23;2;3;3;2;5;5;5;4;4;3;65;72
femenino;US;si;22;2;1;1;1;1;1;1;1;4;3;65;32
masculino;GR;si;20;3;3;4;1;2;5;5;;5;4;62,5;64
masculino;GB;no;26;1;1;2;2;3;3;2;2;2;5;72,5;46
femenino;US;no;20;2;2;2;2;5;1;2;3;2;3;62,5;48
femenino;PH;no;21;3;2;2;2;1;3;3;3;5;1;57,5;50
femenino;US;no;25;2;1;2;1;5;1;1;4;1;3;65;42
masculino;IN;no;23;3;1;2;2;1;2;4;3;1;3;62,5;44
masculino;US;si;22;2;1;1;2;3;3;4;2;3;1;65;44
masculino;US;si;25;1;2;3;4;5;5;1;3;5;3;82,5;64
masculino;US;no;24;2;2;3;2;4;5;4;2;4;3;60;62
femenino;ES;si;26;1;4;4;2;4;4;4;2;4;4;60;66
femenino;JP;si;26;1;5;5;5;5;5;5;3;5;4;65;86
masculino;US;si;23;3;1;2;2;2;4;3;3;3;3;47,5;52
femenino;SI;no;23;3;1;2;3;1;2;1;1;3;4;65;42
femenino;US;si;26;4;3;3;3;1;5;1;3;5;1;65;58
femenino;GB;si;20;1;1;2;2;4;4;3;2;3;1;62,5;46
femenino;US;no;24;1;1;1;4;2;2;2;4;4;5;67,5;52
femenino;HK;no;23;2;1;1;1;4;3;1;2;3;4;25;44
femenino;CA;no;22;3;2;4;5;1;1;1;1;3;4;62,5;50
femenino;US;si;23;3;2;1;2;3;3;3;2;2;1;62,5;44
masculino;US;no;20;2;3;3;2;5;3;3;1;2;3;72,5;54
femenino;HK;si;22;1;5;5;2;5;4;4;4;1;2;45;66
masculino;US;no;22;4;3;1;4;5;4;2;1;4;5;72,5;66
masculino;EU;si;22;4;4;5;5;5;4;5;5;4;5;77,5;92
femenino;CA;si;26;1;2;2;5;5;5;5;5;5;1;67,5;72
femenino;RO;no;26;1;1;1;2;4;4;2;1;3;3;70;44
femenino;US;no;18;2;2;1;2;3;4;1;1;5;3;55;48
femenino;US;no;21;3;2;2;3;5;4;3;3;3;3;65;62
masculino;CA;no;22;3;1;1;1;1;1;1;5;3;1;70;36
masculino;US;no;20;1;1;1;3;4;1;1;3;5;1;65;42
femenino;GB;no;21;3;3;2;4;5;3;3;3;1;1;62,5;56
masculino;US;no;25;1;1;1;3;1;1;2;4;3;2;62,5;38
masculino;GB;no;20;1;1;1;3;1;1;1;3;2;1;70;30
femenino;CA;no;21;1;3;2;2;2;3;2;1;4;3;62,5;46
femenino;PK;si;26;1;2;1;1;2;2;1;1;3;3;72,5;34
masculino;PK;si;21;1;2;1;2;2;4;2;3;5;5;72,5;54
masculino;PK;si;20;4;2;1;3;1;3;1;5;5;2;62,5;54
femenino;GB;si;21;3;1;2;1;1;3;1;2;4;3;75;42
masculino;US;no;18;1;2;2;2;4;4;2;1;4;2;62,5;48
femenino;US;no;18;5;5;3;5;1;2;3;5;3;5;52,5;74
femenino;US;no;23;1;1;1;2;1;1;1;3;1;3;57,5;30
femenino;US;no;23;3;3;3;4;1;2;1;3;3;3;57,5;52
masculino;LU;no;25;1;1;1;1;1;2;1;3;2;2;77,5;30
femenino;CL;no;20;2;3;3;2;5;5;2;3;4;2;52,5;62
masculino;GB;no;22;3;2;1;2;1;4;3;3;3;2;60;48
masculino;US;si;19;1;1;2;1;2;3;3;5;5;5;75;56
femenino;US;no;24;2;1;;4;4;2;1;5;3;3;70;50
femenino;US;no;19;2;1;3;1;4;4;4;1;5;4;65;58
masculino;SG;si;25;1;1;2;1;2;5;3;1;1;2;72,5;38
masculino;TR;no;22;1;3;4;5;1;1;1;5;5;1;62,5;54
femenino;US;si;22;1;1;5;1;5;1;4;3;3;5;75;58
masculino;AU;si;24;3;1;2;2;4;2;2;2;4;2;72,5;48
femenino;GB;no;24;5;4;3;4;5;5;3;5;3;4;65;82
masculino;IN;no;25;2;3;2;3;3;3;3;5;3;2;75;58
femenino;US;si;18;2;4;5;2;5;5;5;3;4;4;60;78
femenino;US;si;24;2;2;2;4;;3;3;2;5;1;62,5;48
masculino;RU;si;26;3;1;2;4;1;2;2;1;5;4;70;50
femenino;HK;si;20;5;3;3;2;5;4;5;3;5;4;70;78
femenino;RO;no;24;2;2;1;4;1;5;1;5;5;2;60;56
masculino;NO;no;26;1;1;1;1;4;4;4;5;4;1;55;52
masculino;ES;si;20;1;2;4;4;2;2;1;5;1;3;62,5;50
femenino;FR;no;19;1;1;3;1;3;3;3;4;4;4;70;54
masculino;US;no;20;3;1;1;1;5;2;2;3;3;5;65;52
femenino;JE;no;19;3;5;4;2;1;1;2;3;3;2;67,5;52
masculino;JE;si;26;3;3;1;5;1;3;2;2;5;3;77,5;56
femenino;US;no;20;5;3;3;2;4;1;3;3;3;2;60;58
masculino;US;no;25;3;2;1;3;3;1;2;1;2;2;72,5;40
femenino;GH;no;20;1;1;1;2;5;4;3;1;1;1;65;40
femenino;NZ;si;22;1;2;1;4;3;2;1;1;5;3;72,5;46
femenino;GB;no;26;1;3;3;1;5;5;3;5;5;3;70;68
femenino;GB;no;19;3;1;1;4;2;5;2;3;4;3;75;56
masculino;US;si;18;1;1;4;4;1;3;3;2;1;5;65;50
femenino;DK;si;25;1;1;1;3;1;1;1;1;5;1;72,5;32
femenino;US;si;21;3;3;3;3;3;3;3;3;3;3;67,5;60
masculino;GB;si;25;2;1;3;3;3;3;2;5;4;3;67,5;58
femenino;AU;si;22;3;2;1;2;4;5;3;1;4;4;72,5;58
femenino;US;no;20;1;1;4;2;4;1;4;1;2;1;67,5;42
femenino;US;no;19;3;;1;3;4;1;3;3;3;5;50;52
masculino;IN;no;26;1;2;3;1;4;3;1;1;2;3;75;42
femenino;GB;si;22;1;5;4;1;3;3;2;1;3;3;57,5;52
femenino;IL;si;20;1;1;1;3;1;2;1;1;1;1;62,5;26
femenino;US;no;23;1;2;4;2;5;4;2;5;4;3;60;64
femenino;GB;si;22;1;1;1;1;2;2;2;2;4;3;62,5;38
masculino;GB;no;19;2;4;4;5;5;5;4;5;5;4;60;86
femenino;GB;si;23;3;3;3;1;2;4;2;4;4;4;67,5;60
femenino;US;si;18;1;1;3;2;2;1;2;5;2;4;62,5;46
masculino;US;no;24;2;2;3;1;4;5;5;3;2;2;75;58
masculino;US;no;18;1;3;5;5;4;4;5;5;5;2;72,5;78
masculino;US;no;26;1;1;3;5;4;1;1;3;2;2;60;46
femenino;US;si;25;1;1;1;1;3;4;2;1;5;2;70;42
masculino;US;no;20;2;1;1;2;5;2;2;1;1;1;55;36
femenino;GB;si;20;1;1;1;1;1;1;1;3;1;3;72,5;28
masculino;IN;no;25;4;2;4;5;2;4;3;5;4;1;67,5;68
femenino;IN;no;23;3;2;3;1;5;1;1;1;1;1;72,5;38
femenino;IT;si;23;1;1;2;5;2;1;1;3;4;3;70;46
femenino;US;si;20;3;4;3;3;5;5;5;3;2;5;80;76
masculino;GB;si;24;1;4;1;2;1;5;1;1;2;2;62,5;40
masculino;US;no;24;1;1;1;4;3;3;1;1;3;3;75;42
masculino;US;si;20;1;2;2;2;5;3;3;3;3;3;75;54
femenino;GB;si;25;5;5;3;3;4;5;4;3;3;3;57,5;76
masculino;US;si;24;2;2;3;3;5;5;2;4;3;3;62,5;64
femenino;DE;si;22;1;4;1;2;3;3;2;2;1;1;57,5;40
femenino;US;si;23;1;1;2;2;1;1;1;1;1;2;75;26
femenino;US;no;22;1;1;1;1;1;1;3;4;4;2;75;38
masculino;US;si;23;1;1;1;1;2;2;1;2;2;4;57,5;34
masculino;US;si;22;2;2;1;1;4;4;4;4;4;1;67,5;54
masculino;GY;no;22;1;1;4;1;2;2;2;3;4;5;67,5;50
femenino;NZ;si;21;1;1;3;1;5;2;2;2;3;4;62,5;48
femenino;US;si;26;4;2;3;4;3;5;4;4;5;4;72,5;76
femenino;AU;si;26;1;1;1;2;1;1;1;3;1;1;67,5;26
femenino;IN;no;18;1;1;2;2;1;1;1;2;2;3;67,5;32
femenino;US;si;19;1;2;5;5;3;5;3;4;4;5;70;74
masculino;IT;si;21;3;2;4;3;5;5;5;5;3;5;62,5;80
femenino;US;si;20;1;1;1;1;1;1;1;3;1;2;65;26
masculino;GB;no;22;2;1;1;2;1;1;1;1;2;3;72,5;30
femenino;CA;no;19;3;5;3;1;1;5;5;5;5;4;65;74
masculino;US;no;23;5;1;1;2;4;4;4;2;3;1;77,5;54
masculino;US;no;24;1;1;2;3;3;3;1;4;2;1;62,5;42
masculino;US;si;25;5;4;3;5;2;5;1;3;4;3;65;70
femenino;US;no;24;3;3;2;5;5;2;3;1;5;4;72,5;66
masculino;GB;no;25;1;5;2;1;5;4;1;1;4;4;75;56
masculino;FR;no;26;3;3;3;4;3;4;5;5;3;2;67,5;70
masculino;MY;si;18;1;1;2;1;1;1;1;2;2;3;80;30
masculino;US;si;21;3;1;2;1;3;3;1;1;1;2;72,5;36
masculino;GB;no;19;1;1;1;1;5;1;1;3;1;2;65;34
masculino;AU;si;22;3;1;2;3;2;2;1;1;3;3;67,5;42
femenino;BR;no;22;3;2;1;1;5;5;5;1;3;3;70;58
femenino;GB;si;24;2;1;1;3;2;3;3;3;5;2;60;50
femenino;GB;si;22;1;1;1;1;5;5;5;3;4;4;65;60
femenino;NZ;no;25;1;3;3;2;3;3;2;3;3;3;67,5;52
femenino;US;si;20;5;1;1;1;1;1;1;1;3;3;77,5;36
femenino;US;no;21;5;5;5;5;5;5;5;3;5;3;60;92
femenino;LT;no;21;2;1;2;4;5;5;4;1;4;5;72,5;66
masculino;IE;no;25;1;2;2;2;1;4;1;2;1;5;65;42
femenino;SG;no;20;3;3;3;3;5;5;3;3;5;2;75;70
masculino;CA;no;19;3;3;3;2;2;5;2;4;5;1;67,5;60
masculino;LV;no;21;1;1;3;2;4;4;1;2;5;4;77,5;54
femenino;MX;si;23;3;2;2;1;2;3;4;3;4;5;65;58
masculino;US;no;19;1;1;2;2;2;1;1;2;3;4;72,5;38
femenino;US;no;25;2;4;2;2;1;1;1;1;3;2;70;38
masculino;FR;si;26;5;4;2;4;5;5;3;1;2;3;75;68
femenino;US;no;25;5;1;1;4;1;3;1;3;3;3;65;50
masculino;IN;no;23;3;2;2;2;2;3;3;4;4;3;75;56
masculino;IN;si;24;3;5;4;3;5;3;;4;4;5;75;72
masculino;GB;si;18;1;1;2;1;3;3;1;1;1;2;70;32
femenino;US;no;22;5;5;4;3;3;4;2;5;5;1;65;74
femenino;GB;si;24;3;1;1;4;3;3;3;1;3;2;72,5;48
