,li,cn,cv,mv,as,es,fr,co,gh,it,ol,ni,sy,cu,ca,hu,md,be,pa,ah,bg,ma
li,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,1,0,1,0,0
cn,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
cv,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0
mv,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,4,0,0,0,1
fr,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,6,4,3,1,1,0,0
co,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,9,5,13,0,0,0,1
gh,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,12,4,3,0,0,1,2
it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
ni,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,0,0,0,2
sy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
cu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,1,1
ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hu,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,2,0,0,0,0
md,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1
be,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
ah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0
bg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0